24/06/2021,12:37:27,,Invoke BalancePyG workflow: Invoke Provisiones CUATRO PyG: Invoke Excel_CopiarHoja workflow: Read Range,Failed,System exception. Retry: 1. The sheet does not exist. at Source: Invoke BalancePyG workflow: Invoke Provisiones CUATRO PyG: Invoke Excel_CopiarHoja workflow: Read Range
24/06/2021,12:39:45,,Invoke BalancePyG workflow: Invoke Provisiones Uno PyG: Type Into Estructura de Balance,Failed,System exception. Retry: 2. Cannot find the UI element corresponding to this selector: <sap id='usr/tabsTABSTRIP_TABBL1/tabpUCOM1/ssub%_SUBSCREEN_TABBL1:RFBILA00:0001/ctxtBILAVERS' /> at Source: Invoke BalancePyG workflow: Invoke Provisiones Uno PyG: Type Into Estructura de Balance
24/06/2021,12:41:13,,Invoke BalancePyG workflow: Invoke Provisiones Uno PyG: Type Into Estructura de Balance,Failed,System exception. Retry: 3. Cannot find the UI element corresponding to this selector: <sap id='usr/tabsTABSTRIP_TABBL1/tabpUCOM1/ssub%_SUBSCREEN_TABBL1:RFBILA00:0001/ctxtBILAVERS' /> at Source: Invoke BalancePyG workflow: Invoke Provisiones Uno PyG: Type Into Estructura de Balance
24/06/2021,12:42:45,,Invoke BalancePyG workflow: Invoke Provisiones Uno PyG: Type Into Estructura de Balance,Failed,System exception. Retry: 0. Cannot find the UI element corresponding to this selector: <sap id='usr/tabsTABSTRIP_TABBL1/tabpUCOM1/ssub%_SUBSCREEN_TABBL1:RFBILA00:0001/ctxtBILAVERS' /> at Source: Invoke BalancePyG workflow: Invoke Provisiones Uno PyG: Type Into Estructura de Balance
24/06/2021,12:44:08,,Invoke Saldos de cuentas de mayor workflow: Invoke Saldos uno: Invoke Fecha para saldos True,Failed,"System exception. Retry: 1. The values provided for the root activity's arguments did not satisfy the root activity's requirements:
'DynamicActivity': The following keys from the input dictionary do not map to arguments and must be removed: in_Variante.  Please note that argument names are case sensitive.
Parameter name: rootArgumentValues at Source: Invoke Saldos de cuentas de mayor workflow: Invoke Saldos uno: Invoke Fecha para saldos True"
25/06/2021,08:57:59,,Invoke Balanzas consolidadas workflow: Copy File,Failed,System exception. Retry: 1. The file 'C:\Users\PC\Documents\UiPath\Extracciones-Balance-General\Procesos_Uipath\TAREA\BG Y FLUJO abril 2021 Liverpool + Suburbia.xlsx' already exists. at Source: Invoke Balanzas consolidadas workflow: Copy File
25/06/2021,04:42:11,,Invoke Asociados Acreedores workflow: Invoke Acreedores workflow PROVEEDORES ASOCIADOS H: Attach Window Rutas de guardado de archivo,Failed,System exception. Retry: 1. Cannot find the UI element corresponding to this selector: <wnd app='saplogon.exe' cls='#32770' title='Saldos acreedores en moneda local' /> at Source: Invoke Asociados Acreedores workflow: Invoke Acreedores workflow PROVEEDORES ASOCIADOS H: Attach Window Rutas de guardado de archivo
29/06/2021,11:07:47,,Invoke BalancePyG workflow: Invoke Excel_CopiarHojaArchivoFinal Uno PyG: Read Range,Failed,System exception. Retry: 1. A column named '05/31/2021 00:00:00' already belongs to this DataTable. at Source: Invoke BalancePyG workflow: Invoke Excel_CopiarHojaArchivoFinal Uno PyG: Read Range
29/06/2021,02:31:42,,Invoke Asociados Acreedores workflow: Invoke Acreedores workflow ACREEDORES: For Each Row dt_Tiempos,Failed,System exception. Retry: 1. Object reference not set to an instance of an object. at Source: Invoke Asociados Acreedores workflow: Invoke Acreedores workflow ACREEDORES: For Each Row dt_Tiempos
30/06/2021,01:02:57,,"Invoke BalancePyG workflow: Invoke Provisiones ocho PyG: Attach Window Seleccion de variante DEPRECIACION ",Failed,"System exception. Retry: 1. Cannot find the UI element corresponding to this selector: <wnd app='saplogon.exe' cls='#32770' title='*Catálogo de variantes del programa*' /> at Source: Invoke BalancePyG workflow: Invoke Provisiones ocho PyG: Attach Window Seleccion de variante DEPRECIACION "
