05/01/2022,11:51:10,,Add Data Row,Failed,System exception. Retry: 1. Object reference not set to an instance of an object. at Source: Add Data Row
06/01/2022,12:02:04,,Add Data Row,Failed,System exception. Retry: 1. Object reference not set to an instance of an object. at Source: Add Data Row
